Epoca,Score Medio,Deliveres Medios,Steps Medios,Simulacoes Sucesso,Simulacoes Falha
1,3.56,6.00,173.32,100,0
2,7.86,6.00,170.66,100,0
3,5.19,6.00,171.87,100,0
4,-1.99,6.00,174.82,100,0
5,-3.88,6.00,174.32,100,0
6,-17.72,6.00,178.10,98,2
7,3.57,6.00,171.48,100,0
8,-17.74,6.00,176.72,100,0
9,-16.68,6.00,176.82,100,0
10,5.97,6.00,172.24,100,0
