Epoca,Score Medio,Deliveres Medios,Steps Medios,Simulacoes Sucesso,Simulacoes Falha
1,-4.63,6.00,174.68,100,0
2,-14.30,6.00,175.95,100,0
3,-13.09,6.00,175.73,100,0
4,-12.22,6.00,178.06,100,0
5,-4.54,6.00,177.24,100,0
6,-21.57,6.00,180.31,100,0
7,-11.68,6.00,174.92,100,0
8,-11.37,6.00,178.11,100,0
9,-18.32,6.00,177.57,100,0
10,-10.46,6.00,175.98,100,0
