Epoca,Score Medio,Deliveres Medios,Steps Medios,Simulacoes Sucesso,Simulacoes Falha
1,44.13,6.00,161.06,100,0
2,28.06,6.00,166.06,100,0
3,32.69,6.00,165.66,100,0
4,32.87,6.00,162.34,100,0
5,48.79,6.00,159.55,100,0
6,39.23,6.00,161.84,100,0
7,37.29,6.00,165.06,100,0
8,31.89,6.00,163.71,100,0
9,33.12,6.00,163.39,100,0
10,35.09,6.00,163.08,100,0
