Epoca,Score Medio,Deliveres Medios,Steps Medios,Simulacoes Sucesso,Simulacoes Falha
1,-10.18,6.00,174.61,100,0
2,-15.33,6.00,176.83,100,0
3,-6.79,6.00,175.64,100,0
4,-25.82,6.00,180.36,100,0
5,-10.21,6.00,173.31,100,0
6,-13.36,6.00,177.82,100,0
7,-26.76,6.00,181.24,98,2
8,-12.61,6.00,176.07,100,0
9,-6.06,6.00,175.31,100,0
10,-2.06,6.00,173.18,100,0
